ranking_date,rank_overall,model_id,model_name,provider,region,tokens_weekly,prompt_usd_per_1m,completion_usd_per_1m,avg_usd_per_1m,is_free_price,price_available,region_rank
"2026-02-02, 2026-02-02T00:00:00+00:00, 2026-02-06",1,moonshotai/kimi-k2.5-0127,moonshotai/kimi-k2.5-0127,moonshotai,国内,1204542701812.6665,,,,False,False,1.0
"2026-02-02, 2026-02-02T00:00:00+00:00, 2026-02-06",2,minimax/minimax-m2.1,MiniMax: MiniMax M2.1,minimax,国内,403725897393.3333,0.27,0.95,0.61,False,True,2.0
"2026-02-02, 2026-02-02T00:00:00+00:00, 2026-02-06",3,anthropic/claude-4.5-sonnet-20250929,anthropic/claude-4.5-sonnet-20250929,anthropic,国外,328276191551.3333,,,,False,False,1.0
"2026-02-02, 2026-02-02T00:00:00+00:00, 2026-02-06",4,google/gemini-3-flash-preview-20251217,google/gemini-3-flash-preview-20251217,google,国外,327811498222.99994,,,,False,False,2.0
"2026-02-02, 2026-02-02T00:00:00+00:00, 2026-02-06",5,x-ai/grok-code-fast-1,xAI: Grok Code Fast 1,x-ai,国外,290262723733.3333,0.19999999999999998,1.5,0.85,False,True,3.0
"2026-02-02, 2026-02-02T00:00:00+00:00, 2026-02-06",6,anthropic/claude-4.5-opus-20251124,anthropic/claude-4.5-opus-20251124,anthropic,国外,254643688840.66666,,,,False,False,4.0
"2026-02-02, 2026-02-02T00:00:00+00:00, 2026-02-06",7,arcee-ai/trinity-large-preview:free,Arcee AI: Trinity Large Preview (free),arcee-ai,国外,217682187613.33334,0.0,0.0,0.0,True,True,5.0
"2026-02-02, 2026-02-02T00:00:00+00:00, 2026-02-06",8,deepseek/deepseek-v3.2-20251201,deepseek/deepseek-v3.2-20251201,deepseek,国内,157485573333.3333,,,,False,False,3.0
"2026-02-02, 2026-02-02T00:00:00+00:00, 2026-02-06",9,google/gemini-2.5-flash,Google: Gemini 2.5 Flash,google,国外,89190398089.33334,0.3,2.5,1.4000000000000001,False,True,6.0
"2026-02-02, 2026-02-02T00:00:00+00:00, 2026-02-06",10,z-ai/glm-4.7-20251222,z-ai/glm-4.7-20251222,z-ai,国内,77866204695.0,,,,False,False,4.0
"2026-02-02, 2026-02-02T00:00:00+00:00, 2026-02-06",11,openai/gpt-5.2-20251211,openai/gpt-5.2-20251211,openai,国外,43042582400.0,,,,False,False,7.0
"2026-02-02, 2026-02-02T00:00:00+00:00, 2026-02-06",12,openai/gpt-5-nano-2025-08-07,openai/gpt-5-nano-2025-08-07,openai,国外,16860973333.333332,,,,False,False,8.0
"2026-02-02, 2026-02-02T00:00:00+00:00, 2026-02-06",13,google/gemini-2.5-flash-lite,Google: Gemini 2.5 Flash Lite,google,国外,14772290921.666666,0.09999999999999999,0.39999999999999997,0.25,False,True,9.0
"2026-02-02, 2026-02-02T00:00:00+00:00, 2026-02-06",14,x-ai/grok-4.1-fast,xAI: Grok 4.1 Fast,x-ai,国外,13858259942.666666,0.19999999999999998,0.5,0.35,False,True,10.0
"2026-02-02, 2026-02-02T00:00:00+00:00, 2026-02-06",15,google/gemini-2.0-flash-001,Google: Gemini 2.0 Flash,google,国外,9098267.0,0.09999999999999999,0.39999999999999997,0.25,False,True,11.0
"2026-02-02, 2026-02-02T00:00:00+00:00, 2026-02-06",16,openai/gpt-5-mini-2025-08-07,openai/gpt-5-mini-2025-08-07,openai,国外,6193019.0,,,,False,False,12.0
"2026-02-02, 2026-02-02T00:00:00+00:00, 2026-02-06",17,openai/gpt-5-2025-08-07,openai/gpt-5-2025-08-07,openai,国外,5346445.0,,,,False,False,13.0
"2026-02-02, 2026-02-02T00:00:00+00:00, 2026-02-06",18,qwen/qwen3-vl-235b-a22b-instruct,Qwen: Qwen3 VL 235B A22B Instruct,qwen,国内,4610789.0,0.19999999999999998,0.88,0.54,False,True,5.0
"2026-02-02, 2026-02-02T00:00:00+00:00, 2026-02-06",19,qwen/qwen3-vl-8b-instruct,Qwen: Qwen3 VL 8B Instruct,qwen,国内,4594154.0,0.08,0.5,0.29,False,True,6.0
